Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,generosity_categ,Perceptions of corruption,corruption_categ,Positive affect,Negative affect
Japan,2020,6.118,10.580,0.887,75.200,0.806,-0.259,Categ1,0.609,Categ2,0.742,0.186
Greece,2020,5.788,10.215,0.779,72.800,0.565,-0.241,Categ1,0.764,Categ3,0.684,0.322
Portugal,2020,5.768,10.371,0.875,72.800,0.913,-0.238,Categ1,0.867,Categ3,0.648,0.383
Morocco,2020,4.803,8.871,0.553,66.500,0.819,-0.229,Categ1,0.803,Categ3,0.587,0.256
Georgia,2020,5.123,9.569,0.718,64.100,0.764,-0.221,Categ1,0.583,Categ2,0.611,0.295
Tunisia,2020,4.731,9.231,0.719,67.500,0.668,-0.202,Categ1,0.877,Categ3,0.585,0.439
France,2020,6.714,10.643,0.947,74.200,0.823,-0.169,Categ1,0.565,Categ2,0.732,0.231
Belgium,2020,6.839,10.771,0.904,72.400,0.767,-0.164,Categ1,0.634,Categ2,0.647,0.260
Ecuador,2020,5.354,9.244,0.804,69.100,0.829,-0.157,Categ1,0.855,Categ3,0.790,0.416
Italy,2020,6.488,10.563,0.890,74.000,0.718,-0.150,Categ1,0.844,Categ3,0.670,0.311
Jordan,2020,4.094,9.150,0.709,67.200,0.779,-0.150,Categ1,,,,
Dominican Republic,2020,5.168,9.802,0.806,66.400,0.835,-0.128,Categ1,0.636,Categ2,0.734,0.314
Czech Republic,2020,6.897,10.530,0.964,71.300,0.906,-0.127,Categ1,0.884,Categ3,0.832,0.290
El Salvador,2020,5.462,9.019,0.696,66.700,0.924,-0.126,Categ1,0.583,Categ2,0.839,0.329
Argentina,2020,5.901,9.850,0.897,69.200,0.823,-0.122,Categ1,0.816,Categ3,0.764,0.342
Lithuania,2020,6.391,10.504,0.953,68.500,0.824,-0.122,Categ1,0.829,Categ3,0.660,0.202
Spain,2020,6.502,10.488,0.935,75.000,0.783,-0.121,Categ1,0.730,Categ2,0.686,0.317
Hungary,2020,6.038,10.335,0.943,68.400,0.771,-0.120,Categ1,0.836,Categ3,0.735,0.240
Mexico,2020,5.964,9.782,0.779,68.900,0.873,-0.119,Categ1,0.778,Categ3,0.810,0.292
Finland,2020,7.889,10.750,0.962,72.100,0.962,-0.116,Categ1,0.164,Categ1,0.744,0.193
Philippines,2020,5.080,9.061,0.781,62.100,0.932,-0.116,Categ1,0.744,Categ2,0.804,0.327
Egypt,2020,4.472,9.383,0.673,62.300,0.770,-0.112,Categ1,,,0.599,0.442
Turkey,2020,4.862,10.219,0.857,67.600,0.510,-0.111,Categ1,0.774,Categ3,0.384,0.440
Saudi Arabia,2020,6.560,10.701,0.890,66.900,0.884,-0.111,Categ1,,,0.754,0.251
South Korea,2020,5.793,10.648,0.808,74.200,0.711,-0.106,Categ1,0.665,Categ2,0.640,0.247
Namibia,2020,4.451,9.104,0.741,57.100,0.666,-0.104,Categ1,0.810,Categ3,0.648,0.248
China,2020,5.771,9.702,0.808,69.900,0.891,-0.103,Categ1,,,0.789,0.245
Colombia,2020,5.709,9.495,0.797,68.300,0.840,-0.085,Categ1,0.808,Categ3,0.795,0.340
Uruguay,2020,6.310,9.937,0.921,69.200,0.908,-0.084,Categ1,0.491,Categ1,0.807,0.265
Benin,2020,4.408,8.102,0.507,55.100,0.783,-0.083,Categ1,0.532,Categ2,0.609,0.305
Estonia,2020,6.453,10.459,0.958,69.000,0.954,-0.082,Categ1,0.398,Categ1,0.807,0.188
Slovenia,2020,6.462,10.478,0.953,71.700,0.958,-0.081,Categ1,0.797,Categ3,0.610,0.314
Latvia,2020,6.229,10.300,0.928,67.400,0.820,-0.078,Categ1,0.809,Categ3,0.714,0.202
Slovakia,2020,6.519,10.332,0.954,69.500,0.762,-0.075,Categ1,0.901,Categ3,0.764,0.274
Russia,2020,5.495,10.162,0.887,65.100,0.714,-0.071,Categ1,0.823,Categ3,0.645,0.190
Switzerland,2020,7.508,11.081,0.946,74.700,0.917,-0.064,Categ1,0.280,Categ1,0.769,0.193
Croatia,2020,6.508,10.166,0.923,71.400,0.837,-0.063,Categ1,0.961,Categ3,0.743,0.286
Germany,2020,7.312,10.833,0.905,72.800,0.864,-0.060,Categ1,0.424,Categ1,0.760,0.206
Moldova,2020,5.812,9.462,0.874,66.400,0.859,-0.058,Categ1,0.941,Categ3,0.727,0.268
Kazakhstan,2020,6.168,10.135,0.966,65.800,0.872,-0.056,Categ1,0.661,Categ2,0.684,0.150
Bolivia,2020,5.559,8.998,0.805,64.200,0.877,-0.054,Categ1,0.868,Categ3,0.790,0.382
Brazil,2020,6.110,9.522,0.831,66.800,0.786,-0.053,Categ1,0.729,Categ2,0.692,0.389
Israel,2020,7.195,10.538,0.959,73.700,0.831,-0.049,Categ1,0.748,Categ2,0.621,0.243
Tajikistan,2020,5.373,8.080,0.790,64.700,,-0.040,Categ1,0.550,Categ2,0.749,0.344
Mauritius,2020,6.015,9.972,0.893,67.000,0.843,-0.037,Categ1,0.772,Categ3,0.767,0.138
Iraq,2020,4.785,9.167,0.708,61.400,0.700,-0.021,Categ1,0.849,Categ3,0.644,0.532
South Africa,2020,4.947,9.332,0.891,57.300,0.757,-0.015,Categ1,0.912,Categ3,0.820,0.294
Bangladesh,2020,5.280,8.472,0.739,65.300,0.777,-0.009,Categ1,0.742,Categ2,0.582,0.332
Zimbabwe,2020,3.160,7.829,0.717,56.800,0.643,-0.009,Categ1,0.789,Categ3,0.703,0.346
Poland,2020,6.139,10.371,0.953,70.100,0.767,-0.007,Categ1,0.787,Categ3,0.760,0.329
Bulgaria,2020,5.598,9.991,0.916,67.200,0.818,-0.004,Categ1,0.901,Categ3,0.706,0.221
Albania,2020,5.365,9.497,0.710,69.300,0.754,0.007,Categ2,0.891,Categ3,0.679,0.265
Austria,2020,7.213,10.851,0.925,73.600,0.912,0.011,Categ2,0.464,Categ1,0.769,0.206
Ireland,2020,7.035,11.323,0.960,72.500,0.882,0.014,Categ2,0.356,Categ1,0.797,0.246
Ivory Coast,2020,5.257,8.565,0.613,50.700,0.770,0.016,Categ2,0.777,Categ3,0.693,0.340
Chile,2020,6.151,10.020,0.888,70.100,0.781,0.033,Categ2,0.812,Categ3,0.815,0.336
United States,2020,7.028,11.001,0.937,68.100,0.850,0.034,Categ2,0.678,Categ2,0.787,0.295
Cameroon,2020,5.241,8.175,0.720,54.300,0.675,0.049,Categ2,0.837,Categ3,0.630,0.386
Canada,2020,7.025,10.730,0.931,74.000,0.887,0.050,Categ2,0.434,Categ1,0.796,0.307
Denmark,2020,7.515,10.910,0.947,73.000,0.938,0.052,Categ2,0.214,Categ1,0.818,0.227
Cambodia,2020,4.377,8.362,0.724,62.400,0.963,0.052,Categ2,0.863,Categ3,0.878,0.390
Zambia,2020,4.838,8.117,0.767,56.300,0.750,0.056,Categ2,0.810,Categ3,0.691,0.345
Montenegro,2020,5.722,9.913,0.887,68.900,0.802,0.060,Categ2,0.845,Categ3,0.603,0.411
United Arab Emirates,2020,6.458,11.053,0.827,67.500,0.942,0.060,Categ2,,,0.752,0.298
Norway,2020,7.290,11.042,0.956,73.400,0.965,0.075,Categ2,0.271,Categ1,0.823,0.216
India,2020,4.225,8.703,0.617,60.900,0.906,0.075,Categ2,0.780,Categ3,0.752,0.383
Sweden,2020,7.314,10.838,0.936,72.800,0.951,0.091,Categ2,0.203,Categ1,0.766,0.222
Nigeria,2020,5.503,8.484,0.739,50.500,0.713,0.099,Categ2,0.913,Categ3,0.744,0.316
Kyrgyzstan,2020,6.250,8.503,0.902,64.700,0.935,0.103,Categ2,0.931,Categ3,0.803,0.258
New Zealand,2020,7.257,10.600,0.952,73.600,0.918,0.125,Categ2,0.283,Categ1,0.849,0.209
Ukraine,2020,5.270,9.428,0.885,65.200,0.784,0.126,Categ2,0.946,Categ3,0.688,0.285
North Macedonia,2020,5.054,9.690,0.750,65.560,0.787,0.131,Categ2,0.877,Categ3,0.605,0.365
Bahrain,2020,6.173,10.620,0.848,69.700,0.945,0.132,Categ2,,,0.790,0.297
Bosnia and Herzegovina,2020,5.516,9.583,0.899,68.400,0.740,0.138,Categ2,0.916,Categ3,0.644,0.325
Laos,2020,5.284,8.960,0.660,59.500,0.915,0.141,Categ2,0.748,Categ2,0.822,0.358
Mongolia,2020,6.011,9.396,0.918,62.700,0.718,0.141,Categ2,0.843,Categ3,0.636,0.260
Uganda,2020,4.641,7.684,0.800,56.500,0.687,0.147,Categ2,0.878,Categ3,0.699,0.425
Serbia,2020,6.042,9.788,0.852,69.000,0.843,0.149,Categ2,0.824,Categ3,0.603,0.358
Netherlands,2020,7.504,10.901,0.944,72.500,0.935,0.151,Categ2,0.281,Categ1,0.784,0.247
Iceland,2020,7.575,10.824,0.983,73.000,0.949,0.160,Categ2,0.644,Categ2,0.863,0.172
Ethiopia,2020,4.549,7.711,0.823,59.500,0.769,0.188,Categ2,0.784,Categ3,0.669,0.252
Ghana,2020,5.319,8.590,0.643,58.000,0.824,0.200,Categ3,0.847,Categ3,0.713,0.253
United Kingdom,2020,6.798,10.626,0.929,72.700,0.885,0.203,Categ3,0.490,Categ1,0.758,0.225
Australia,2020,7.137,10.760,0.937,74.200,0.905,0.210,Categ3,0.491,Categ1,0.769,0.205
Kenya,2020,4.547,8.365,0.674,61.300,0.702,0.260,Categ3,0.837,Categ3,0.733,0.297
Thailand,2020,5.885,9.769,0.867,67.600,0.840,0.273,Categ3,0.918,Categ3,0.783,0.326
Tanzania,2020,3.786,7.881,0.740,58.500,0.830,0.295,Categ3,0.521,Categ2,0.686,0.271
Myanmar,2020,4.431,8.554,0.796,59.600,0.825,0.470,Categ3,0.647,Categ2,0.800,0.289
Hong Kong S.A.R. of China,2020,5.295,,0.813,,0.705,,,0.380,Categ1,0.609,0.210
Malta,2020,6.157,,0.938,72.200,0.931,,,0.675,Categ2,0.601,0.411
Iran,2020,4.865,,0.757,66.600,0.600,,,0.710,Categ2,0.582,0.470
Taiwan Province of China,2020,6.751,,0.901,,0.799,,,0.711,Categ2,0.845,0.083
Venezuela,2020,4.574,,0.805,66.900,0.612,,,0.811,Categ3,0.722,0.396
Cyprus,2020,6.260,,0.806,74.100,0.763,,,0.816,Categ3,0.759,0.284
Kosovo,2020,6.294,,0.792,,0.880,,,0.910,Categ3,0.726,0.201